Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,ELA,Faltas_ELA,OPE,Faltas_OPE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
d8af6e24-6f72-4bfe-b8e3-98a974b348d8,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,1,,,,,,,,,,,,,,,,,,
678358f4-e35b-4d02-a1db-cc30906497b6,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,1,7,5,6,2,5,8,5,8,8,0,AC,0,AC,0,AC,0,,
4a3a8684-ce61-42f4-9bf5-50d5fbd1b497,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,5,4,,,,,,,,,,,,,,
68952d04-d19a-4e88-a52b-850db785b4bb,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,5,4,,,,,,,,,,,,,,
aa21edea-060f-40a7-86f1-1a3b7bd730e6,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,7,4,5,4,7,1,5,9,5,0,AC,0,AC,0,NA,0,,
f801708c-7c01-478d-a6da-96d4d21579d3,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,8,4,6,0,8,0,7,3,6,0,AC,0,AC,0,AC,0,,
1264ce49-4ee5-4e4d-b424-bd4975cae1b3,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,9,2,6,0,5,2,5,2,6,2,AC,0,AC,0,AC,0,,
1af6f4b1-d91f-44eb-a81d-7aa7b599d84f,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,3,,,,,,,,,,,,,,,,,,
373e2bda-273c-4f3e-853b-2e2b04866ef1,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,8,8,4,5,0,6,5,7,3,6,4,AC,0,AC,0,AC,0,,
a8b771d3-6161-434e-ad70-35b461eebdb1,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,5,6,4,5,6,5,3,5,14,5,4,NA,0,NA,0,AC,0,,
4c27d90f-7512-473d-a8e3-c6819a1544cf,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,9,2,6,2,7,0,5,3,10,0,AC,0,AC,0,AC,0,,
1607b326-ca4f-464e-bf94-5186042bb850,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,6,2,5,0,5,1,5,0,10,0,AC,0,NA,0,AC,0,,
f110a4c2-7a13-48df-90d5-f9096ff0eeaf,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,,,,,10,6,8,0,,,,,,,,
ef165ff9-7e86-4888-9c26-9e894e09ff21,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,,,,,5,5,,,,,,,,,,
56ba500a-1798-411b-b088-ecbd6bd686a6,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,1,6,6,5,14,5,8,5,19,5,8,NA,0,NA,0,NA,0,,
92bf0211-9498-4665-9e6b-fe249ce7f6fd,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,9,2,,,,,,,,,,,,,,
21785b57-f3cb-4420-9550-f05fd0c79b3a,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,3,,,,,,,,,,,,,,,,,,
90788484-36b5-4e9d-81f8-1b4539d43653,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,9,3,7,2,6,0,5,0,6,8,AC,0,NA,0,NA,0,,
65559ed3-9d3b-42cc-944c-8e5216a61811,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,4,7,3,5,0,5,0,5,7,6,0,NA,0,NA,0,NA,0,,
