Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,INS,Faltas_INS,DIA,Faltas_DIA,ELA,Faltas_ELA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
796f6ccb-7d80-4f63-8c46-5c50e25f0511,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,10,0,9,0,10,0,8,1,10,2,10,0,AC,0,AC,0,AC,0,,
412fa9ff-ef8e-4b0c-8a1e-3cc9cc19d93f,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,9,0,5,4,8,0,9,1,6,9,7,0,AC,0,NA,0,AC,0,,
7f1e7cf5-9a77-4754-a9a8-86a9ac8bc2ce,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,10,0,8,0,10,0,8,3,10,2,7,0,AC,0,AC,0,AC,0,,
9c9fe399-1a05-4106-9122-cc7be3bc7431,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,7,4,5,4,,,5,4,5,22,5,0,,,,,,,,
42ceb7b8-a17d-42e6-9d12-5260834b9541,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,9,0,6,0,7,0,8,0,8,1,9,0,AC,0,AC,0,AC,0,,
c1437b8b-bb2a-413f-89e5-6d76d2c02774,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,7,3,7,1,,,9,2,9,12,9,0,,,,,,,,
4ce8abca-8d79-4a3d-ac09-d0c5f3726207,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,5,5,,,,,,,NP,36,,,,,,,,,,
852698c4-5af4-4d8e-ac33-abd48f395969,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,7,0,5,0,8,0,6,0,9,4,10,0,AC,0,AC,0,AC,0,,
d2d70476-9456-4532-a67f-ee57d43478e6,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,6,0,7,0,,,5,1,NP,34,NP,19,,,,,,,,
af35690b-a6b9-421e-9190-3aadad6d13e3,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,6,0,10,0,7,0,9,1,10,0,9,0,AC,0,AC,0,AC,0,,
943dc7f6-e36f-4aca-a6ce-9374322e02cb,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,6,5,5,8,7,0,5,6,5,12,5,0,AC,0,AC,0,NA,0,,
5b16185e-1d73-4c6e-9108-7af42b0084bd,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,6,1,,,,,,,,,,,,,,,,,,
ac781422-78e9-4343-ad1b-9a6240a3babf,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,7,0,6,0,7,0,8,1,8,6,10,0,AC,0,AC,0,AC,0,,
8e552e13-506d-4b3f-b680-72ca813558fd,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,7,0,7,0,7,0,9,1,9,4,9,0,AC,0,AC,0,NA,0,,
52f8e067-ca89-426b-90d1-165fd9f8ae7b,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,7,1,8,0,8,0,9,0,9,2,10,0,AC,0,AC,0,AC,0,,
