Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,ECO,Faltas_ECO,APL,Faltas_APL,EVA,Faltas_EVA,DIR,Faltas_DIR,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TAL3,Faltas_TAL3,TAL4,Faltas_TAL4,TUT,Faltas_TUT
37b1aab2-2728-49e1-965e-13fa5fd97676,F,No,PUERICULTURA,MATUTINO,9,0,6,0,9,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
43d1ff24-ef29-4e12-b426-baa578b54c96,F,No,PUERICULTURA,MATUTINO,7,0,5,1,8,0,10,1,9,5,10,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
82d8c610-ae35-450a-b9d3-4acf04f4f7bf,F,No,PUERICULTURA,MATUTINO,5,1,5,0,8,0,9,1,7,2,8,1,9,0,AC,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
c5a6f50f-dbc3-4e25-8423-471957c73ee9,F,No,PUERICULTURA,MATUTINO,5,0,5,4,7,2,9,6,7,7,6,3,9,4,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
fa0eaae1-d67b-4360-a348-ca67542e6719,F,No,PUERICULTURA,MATUTINO,7,0,6,0,9,0,10,1,10,6,8,1,9,2,AC,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
6153a6d6-3ec3-426e-89ca-b7be45070820,F,No,PUERICULTURA,MATUTINO,5,0,6,1,9,0,8,0,7,0,6,0,10,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
364d4917-58f0-437e-8fca-54e9613cb917,F,No,PUERICULTURA,MATUTINO,6,0,6,0,10,0,10,1,10,0,10,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
a15e8ae1-bef0-4676-8881-1055f4e31e73,F,No,PUERICULTURA,MATUTINO,9,0,6,0,9,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
8ef0666f-036a-4bea-8b13-00b593c3b96e,F,No,PUERICULTURA,MATUTINO,6,0,6,1,9,0,10,1,10,0,10,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
79ef7e70-5226-44d6-940f-ec2cb4817b27,F,No,PUERICULTURA,MATUTINO,8,1,5,0,10,0,9,0,8,0,10,0,9,2,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
06a1f977-d65d-47e9-bb03-8f42158630a0,F,No,PUERICULTURA,MATUTINO,6,0,6,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
